S.NO,Submitted Time,1. Name,2. select book,3. Number of quantity
1,02-08-2022,Manasa,"Head-First Python,2nd edition",2
2,03-08-2022,Rajasekhar,Python Crash course by Eric Matthes,1
3,03-08-2022,Rajasekhar,"Head-First Python,2nd edition",1
4,03-08-2022,Manasa,Data structure and algorithm through python,1
5,03-08-2022,Hari Prakash,python programming:using problem solving approach,1
6,03-08-2022,Hari Prakash,Data structure and algorithm through python,1
7,03-08-2022,Manogna,Python Crash course by Eric Matthes,1
8,03-08-2022,Bharathi,"Head-First Python,2nd edition",1
9,03-08-2022,Bharathi,"Invent your own computer games with python,4th edition",1
10,03-08-2022,Manogna,"Invent your own computer games with python,4th edition",1
11,03-08-2022,Venkat,python programming:using problem solving approach,2
12,03-08-2022,Veerapavan,"Head-First Python,2nd edition",1
13,03-08-2022,Pavan kumar,Data structure and algorithm through python,1
14,03-08-2022,Sudheer,"Head-First Python,2nd edition",1
15,03-08-2022,Chandrasena,"Head-First Python,2nd edition",1
16,03-08-2022,Mohan,Think python:how to think like a computer scientist,1
17,03-08-2022,Mohan,"Invent your own computer games with python,4th edition",1
18,03-08-2022,Sree krishna,"HTML,CSS,Javascript web publishing",1
19,03-08-2022,Vijay,Data structure and algorithm through python,1
20,03-08-2022,Ram,Python Crash course by Eric Matthes,1
21,03-08-2022,Ram,python programming:using problem solving approach,1
22,03-08-2022,Manaswi,"Head-First Python,2nd edition",1
23,03-08-2022,Manaswi,Machine learning with python,1
24,03-08-2022,Manogna,Machine learning for beginners,1
25,03-08-2022,Sneha,Python Crash course by Eric Matthes,1
26,03-08-2022,Sneha,Machine learning with python,2
27,03-08-2022,Keerthy,Think python:how to think like a computer scientist,1
28,03-08-2022,Keerthy,"Invent your own computer games with python,4th edition",1
29,03-08-2022,Suresh,"Invent your own computer games with python,4th edition",1
30,03-08-2022,Saikiran,Python Crash course by Eric Matthes,1
31,03-08-2022,Saikiran,python programming:using problem solving approach,1
32,03-08-2022,Suman,python programming:using problem solving approach,1
33,03-08-2022,Sumanth,Python Crash course by Eric Matthes,1
34,03-08-2022,Monish,Python Crash course by Eric Matthes,1
35,03-08-2022,Monish,python programming:using problem solving approach,1
36,03-08-2022,Manish,"Head-First Python,2nd edition",1
37,03-08-2022,Manish,"Head-First Python,2nd edition",1
38,03-08-2022,Pandey,"Head-First Python,2nd edition",1
39,03-08-2022,Pandey,Data structure and algorithm through python,1
